         13501280 function calls (13282499 primitive calls) in 24.649 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      220    0.001    0.000    0.029    0.000 _models.py:1033(extract_cookies)
     4802    0.005    0.000    0.028    0.000 strip.py:234(adjust_cell_length)
        1    0.000    0.000    0.028    0.028 _animator.py:1(<module>)
      930    0.002    0.000    0.028    0.000 _connection.py:426(next_event)
      492    0.001    0.000    0.028    0.000 anyio.py:23(read)
    18731    0.020    0.000    0.028    0.000 dom.py:1070(ancestors_with_self)
      160    0.001    0.000    0.028    0.000 _compose.py:10(compose)
      501    0.006    0.000    0.028    0.000 _matrix.py:74(add_horizontal_string)
    18154    0.008    0.000    0.028    0.000 _style_properties.py:825(__get__)
        1    0.000    0.000    0.028    0.028 _main.py:1(<module>)
     4973    0.004    0.000    0.027    0.000 _styles_cache.py:325(post)
     4942    0.006    0.000    0.027    0.000 widget.py:1790(scroll_offset)
    28238    0.015    0.000    0.027    0.000 _matrix.py:66(insert_element)
     7647    0.007    0.000    0.026    0.000 _callback.py:17(count_parameters)
     4829    0.005    0.000    0.026    0.000 _segment_tools.py:149(line_pad)
   393571    0.026    0.000    0.026    0.000 typing.py:2132(cast)
     6592    0.007    0.000    0.026    0.000 queues.py:137(put_nowait)
     1411    0.004    0.000    0.026    0.000 widget.py:1984(_set_dirty)
       62    0.006    0.000    0.025    0.000 dom.py:451(__init_subclass__)
      198    0.001    0.000    0.025    0.000 reactive.py:178(_initialize_object)
       39    0.000    0.000    0.025    0.001 reactive.py:53(await_watcher)
     7195    0.011    0.000    0.025    0.000 segment.py:148(split_cells)
      449    0.001    0.000    0.025    0.000 _worker_manager.py:81(_new_worker)
       59    0.000    0.000    0.025    0.000 widget.py:2975(__init_subclass__)
      547    0.002    0.000    0.025    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      152    0.000    0.000    0.025    0.000 dom.py:504(_post_mount)
213953/211469    0.024    0.000    0.025    0.000 {built-in method builtins.len}
     4769    0.004    0.000    0.025    0.000 widget.py:1561(scrollbars_enabled)
     5774    0.008    0.000    0.024    0.000 widget.py:3661(check_message_enabled)
        2    0.000    0.000    0.024    0.012 _synchronization.py:1(<module>)
    28899    0.017    0.000    0.024    0.000 fractions.py:186(__new__)
      696    0.002    0.000    0.024    0.000 dom.py:1205(walk_children)
     8781    0.004    0.000    0.023    0.000 contextlib.py:132(__enter__)
       38    0.002    0.000    0.023    0.001 _compositor.py:123(render_segments)
     9395    0.004    0.000    0.023    0.000 message_pump.py:310(_get_message)
       15    0.000    0.000    0.023    0.002 trading.py:235(watch_market)
      958    0.002    0.000    0.023    0.000 connection_pool.py:301(_close_connections)
       21    0.000    0.000    0.023    0.001 widget.py:1125(recompose)
28789/28787    0.013    0.000    0.023    0.000 {method 'join' of 'str' objects}
    79373    0.014    0.000    0.023    0.000 connection.py:190(is_idle)
     1592    0.001    0.000    0.023    0.000 _synchronization.py:80(__aexit__)
       57    0.000    0.000    0.022    0.000 app.py:2788(_shutdown)
      910    0.022    0.000    0.022    0.000 _utility.py:100(transpose)
     1608    0.003    0.000    0.022    0.000 _synchronization.py:200(release)
       31    0.000    0.000    0.022    0.001 dom.py:1406(add_class)
      300    0.008    0.000    0.022    0.000 _compositor.py:914(cuts)
    13029    0.012    0.000    0.022    0.000 walk.py:37(walk_depth_first)
